 (-2.266521386423902413e+02+5.781544785660472598e+02j), (-4.879778052232568939e+02-3.503388400218356082e+02j), (1.082863917640726328e+02-4.394816939012200692e+02j), (3.981370430773578164e+02+2.596263003524192641e+02j), (2.269871346828465732e+02+4.062315512096578800e+02j)
 (-3.122270928396458771e+02+1.054835383563700333e+02j), (-1.907658675274120696e+02-3.631512159710731567e+02j), (1.763782908027491487e+02-3.535356502002412071e+02j), (1.671766828245496299e+02+1.899400269349923178e+02j), (-4.538046147185950474e+01+2.842807917578518868e+02j)
 (-7.666592859773791702e+01-6.416547495473957419e+00j), (-8.954817976721726325e+01-2.267660981728076308e+01j), (-1.604005611993536320e+02-7.665412364966647374e+01j), (-3.525869269584002552e+01-1.121703847256111715e+02j), (5.123642229923555647e+01+4.967709385659706811e+01j)
 (7.240012064909446110e+01-8.871883566674691224e+01j), (4.847593990577569656e+01+1.920558624164226842e+02j), (7.988864801697764584e+00+7.511184137814811379e+01j), (-7.298528540645810381e+01-2.975487025396749345e+02j), (1.717774868136493751e+02-1.820786706274136293e+02j)
 (-5.826271264133885097e+01-1.219603888770238314e+02j), (2.895580689346033978e+02-3.240230571553561845e+01j), (2.334282602675862393e+02+5.882035502539974914e+01j), (1.903079437553720155e+01+2.187050977684573638e+02j), (-2.091690834838111357e+02-7.236910584105331168e+01j)
 (6.530215840734848598e+02-1.368297727582366576e+02j), (5.794087202478885956e+02+6.758221302649028530e+02j), (-4.778560364472373863e+02+3.633899982248923379e+02j), (-6.710898039894275371e+02-6.240074063211515067e+02j), (2.915256315155668432e+01-6.588916142960647448e+02j)
 (5.370813235481707579e+02-4.128263937689728209e+02j), (3.328056264321411959e+02+7.504874465390926161e+02j), (-3.471932031568040884e+02+3.530752187404628444e+02j), (-6.057583873442108597e+02-5.243257162051776277e+02j), (5.307674389487546307e+01-7.755703612968520702e+02j)
 (8.260118140636359385e+02-1.268359561375416433e+01j), (3.530491639841801543e+02+7.436249580161703534e+02j), (-6.131196737267704293e+02+2.888884509621327084e+02j), (-4.916584484145366787e+02-5.332616547711833164e+02j), (4.689894245094941994e+02-6.456484430683800610e+02j)
 (6.898280159862829350e+02-1.825498070764231215e+02j), (5.057958564222923314e+02+8.037279658084717084e+02j), (-4.520915341082787222e+02+3.634961078398872019e+02j), (-6.103591913333106049e+02-3.974380072967007891e+02j), (3.024403201040827298e+02-7.008883108732991332e+02j)
 (-1.604005611993536320e+02-2.559441442767137573e+02j), (1.791387731962090015e+02+8.146022393720406285e+01j), (1.055259093706127800e+02+3.511773752309799193e+02j), (-2.873827512985071166e+02+2.136730143754327571e+01j), (-3.168278968287456223e+02-2.994211867984289484e+02j)
 (-1.447578276364144472e+02-5.249925807039989678e+00j), (9.632430139241324696e+01-4.130163158515200195e+01j), (1.828194163874888147e+02-7.084337178129949564e+00j), (4.308221610417953151e+00+8.667311680051267331e+01j), (-1.714424907731930716e+02+5.831056161221636103e+01j)
 (-5.165027899556754392e+02+9.682814778593993310e+01j), (-2.763408217246677054e+02-3.192237916621395470e+02j), (2.647137273934646373e+02-3.605518224419531634e+02j), (4.459854045639954165e+02+2.440504698243765631e+02j), (4.019449272539611684e+01+5.097948673743113659e+02j)
 (1.266896077204716846e+02-2.019428731056108717e+01j), (-1.668416867840932980e+02+1.765538413576685173e+02j), (-6.746432061953838399e+01-1.659887341355045578e+02j), (-8.574029559061388639e+00-2.223260187485069252e+02j), (1.450928236768707507e+02+1.326904332636377717e+02j)
 (3.559368873629635743e+01+2.041580632446572565e+02j), (-2.901432336919669979e+02-1.492517626227305811e+02j), (1.957016675569681752e+02-1.022474515171999911e+02j), (1.082863917640726328e+02+3.254739995304002775e+01j), (1.828194163874888147e+02+3.281981307741448859e+02j)
 (-2.883029120963270771e+02+4.750150167848634624e+02j), (-5.100616643709357163e+02-5.787749505630827116e+02j), (3.061209632953625714e+02-4.511115901274253588e+02j), (5.057958564222923314e+02+3.691775768310520220e+02j), (3.191304554501654067e+01+5.682217521032504237e+02j)
 (7.332028144691442151e+01+7.957736234755455484e+01j), (-3.709901429147993213e+01-5.095950049995415121e+00j), (-1.373965412538548208e+02-1.306792115858469288e+02j), (-4.814094386531936465e+01-2.054137327403874735e+02j), (2.150250443111871732e+02+1.449889952872638901e+02j)
 (-1.107118781170761679e+02-4.938956934596336623e+01j), (6.595899506435479509e+01+1.963899968144820107e+01j), (-1.714424907731930716e+02+1.241515296390981007e+02j), (-6.562399902389847739e+01-7.351438879118633452e+01j), (9.540414059459328655e+01+1.621504052600174361e+02j)
 (-2.128497266750909489e+02+1.427927014798225400e+02j), (-2.726601785333878638e+02-3.469920745988134172e+02j), (1.349710549008512714e+02-2.579111926665473220e+02j), (2.435500290436057469e+02+1.982133644837898032e+02j), (-7.390544620427805000e+01+3.981911875526412814e+02j)
 (6.511812624778449390e+02-2.406012902223835681e+00j), (1.561347532507101903e+02+6.247343512115983231e+02j), (-7.005349495196660428e+02+1.572806164159126183e+02j), (-4.695745892668577994e+02-7.383629952377115160e+02j), (3.263645008474015299e+02-5.146986049504303082e+02j)
 (4.285023494054162825e+02-4.222453063061582270e+02j), (5.849296850348082444e+02+3.353530048148130049e+02j), (-3.849197958674221240e+02+4.452419046089468679e+02j), (-5.404269706989941824e+02-3.344925467908578867e+02j), (6.411867346871488849e+01-6.461582364815635628e+02j)
 (-3.619157759219232844e+02-5.954057981896259832e+01j), (-7.850625019337782362e+01-4.210051671866906986e+02j), (3.834144703122386204e+02-7.499327454439242047e+01j), (1.975419891526080676e+02+2.718236493882433251e+02j), (-1.153126821061759415e+02+1.615719910429932895e+02j)
 (2.104242403220873996e+02+1.219618846883792003e+02j), (6.503883426653484889e+01+2.352462921623496470e+02j), (-2.846222689050472354e+02-3.187292579358087607e+01j), (-3.149875752331057015e+02-2.494902361791727969e+02j), (7.147995985127451490e+01-2.408080261667390118e+02j)
 (1.340508941030313110e+02+2.353706784123590268e+01j), (-3.065788870674025901e+01+1.965052333129759461e+02j), (-2.827819473094073714e+02-7.614520635124787873e+01j), (-3.617885349365997882e+01-2.409620019237835891e+02j), (3.070411240931824750e+02-1.742564406630815910e+01j)
 (-1.208336468930956613e+02+1.232023158461016976e+02j), (-1.097917173192562217e+02+6.420797830754399627e+01j), (-1.685547673944096658e+01-6.665708893371180466e+01j), (2.039831147373477336e+02+1.051218062375364681e+01j), (1.036855877749728734e+02+2.880782310063473801e+02j)
 (-2.432150330031493866e+02+2.564061071679281554e+02j), (-3.370714343807845808e+02-3.421926587880790294e+02j), (3.559368873629635743e+01-4.187987880866086812e+02j), (4.515063693509151221e+02+1.942945416622110315e+02j), (2.426298682457857865e+02+5.758907321077848565e+02j)
 (2.545919586174451865e+02+5.312260211975897164e+02j), (-4.438100869278991354e+02+1.318568303017669905e+02j), (-3.085464496483660355e+02-4.348313572203373383e+02j), (3.364862696234209807e+02-4.198748661563910787e+02j), (4.266620278097763617e+02+4.850501243884820610e+02j)
 (8.528237181857380733e+01-4.814826207347606157e+01j), (7.068704003877812170e+00+1.621294408543482035e+01j), (2.122645619177273204e+02+1.070648052503979102e+02j), (2.812766217542238110e+02-1.492136897350665947e+02j), (1.547739216958094133e+00+6.596887224760037327e+01j)
 (4.308221610417953151e+00+2.001221694006781604e+02j), (-4.346084789496995882e+02-1.411644089384290908e+02j), (-3.801917508929988543e+01-3.070999600573491080e+02j), (1.368113764964911638e+02-4.692310487384195028e+01j), (1.911008635678684016e+02+3.518192215863970773e+02j)
 (-5.182158705659917786e+01+9.748074580488431451e+00j), (-7.653868761241435337e+00-3.984868915918477228e+01j), (1.828194163874888147e+02+8.104126618092718104e+01j), (-4.538046147185950474e+01+1.353789102201346850e+02j), (-2.312529426314900149e+02-1.012564363623664718e+02j)
