 (6.721250447932768566e+02-6.228648043003054227e+02j), (6.021928241589604340e+02+8.974117817479470887e+02j), (-5.480081731159807532e+02+7.756080571582084531e+02j)
 (5.939113769785808472e+02-4.035240887858113297e+02j), (3.905558406603713024e+02+8.551544157221634350e+02j), (-5.811339618374991005e+02+7.084730190895968462e+02j)
 (6.969693863344156171e+02-2.906635356953105429e+02j), (3.105018512500354291e+02+8.219765866885344394e+02j), (-6.114992681655575097e+02+4.766745771289841969e+02j)
 (2.617333289655779254e+02-1.309647768167488948e+02j), (2.046833595007408064e+02+5.202640860841618178e+02j), (-2.986445969067734723e+02+2.810189686416450741e+02j)
 (7.678100860376734715e+01+1.187585970833725497e+02j), (7.768948767270871691e+00+1.957470714417897852e+02j), (-1.882253011683791328e+02-2.137082375973644730e+02j)
 (-1.081713117580432026e+02+2.833951815333699074e+02j), (-2.388341450484765005e+02-1.296981102935326078e+02j), (5.009634546698870849e+01-1.620798251764449844e+02j)
 (-2.231914114855373441e+02+2.121605254441312809e+02j), (-2.765607377590945930e+02-2.735459713521786398e+02j), (2.782962233263370422e+02-1.718481985513017207e+02j)
 (-1.771833715945396932e+02+3.745647874668077861e+02j), (-1.992672307422185440e+02-4.241553999841998461e+02j), (1.761583747683222612e+02-3.433106588278320714e+02j)
 (-1.247342061188023621e+02+3.637831840840517543e+02j), (-2.784010593547344570e+02-1.745750404337175610e+02j), (2.709232552148988304e+01-2.154261620225640286e+02j)
 (-1.983587516732771761e+01+1.386194454200284270e+02j), (-2.885228281307539646e+02-9.073721029162825857e+00j), (-3.455844793244696689e+01-2.486729038982887232e+02j)
 (1.724777315770424480e+02+1.568834018253937934e+01j), (-2.139898035073377969e+02+6.170478053089970416e+01j), (-1.615406380316004800e+02-2.782816629862651325e+02j)
 (1.964019123203612196e+02+1.107136288374180282e+02j), (-8.424713101472441679e+01+2.487644100737736323e+02j), (-1.919059443596589176e+02-2.973631313215674368e+02j)
 (3.169429768347750951e+02+2.993271217558063313e+02j), (-2.176704466986176101e+02+3.579016254233223435e+02j), (-2.747204161634546722e+02-3.421287631813097505e+02j)
 (1.264696916860447971e+02+2.837827152587051387e+02j), (-2.958841145133135910e+02+2.085329199872786035e+02j), (-2.553970394092356457e+02-3.825666997558369076e+02j)
 (8.689109565090824105e+00+4.531818107847927308e+02j), (-2.839220241416542194e+02+7.675554368767063806e+01j), (1.236975275637063731e+01-4.750883271656949773e+02j)
 (-1.909857835618389856e+02+5.100969255383094492e+02j), (-4.155050182299074777e+02-1.703644161709028140e+02j), (6.941972222120772074e+01-4.010536038012618292e+02j)
 (-2.406744666441164213e+02+5.334792697168230688e+02j), (-4.201058222190072229e+02-3.250734628235510399e+02j), (1.770785355661422216e+02-4.788958517068310812e+02j)
 (-3.501736015846908003e+02+2.605479900187685871e+02j), (-3.317703856282917627e+02-4.445257496957841568e+02j), (4.816517596445466438e+02-3.689677108720134697e+02j)
 (-4.817565956729441154e+02+1.866404229693764023e+02j), (-1.965067483487586912e+02-4.632144956403033689e+02j), (4.025179310320307309e+02-1.001415298982887947e+02j)
 (-3.888203550931288532e+02-4.653137920595719379e+01j), (4.076623847112481602e-01-1.974478832373027331e+02j), (2.414897914135389385e+02+2.111801796584482531e+02j)
 (-1.882253011683791328e+02-3.119632206528650045e+02j), (2.534518817851983385e+02-2.649961063202335936e+02j), (1.605156412053830479e+02+2.072290566911630947e+02j)
 (4.733586307352884859e+01-5.059112820459001227e+02j), (5.433025330984834227e+02-8.248647658520508230e+01j), (1.789188571617821140e+02+4.877439614405481620e+02j)
 (6.849956142338777454e+01-4.052538507331810820e+02j), (6.472807032521380961e+02+1.145964230391173260e+02j), (2.470107562004586725e+02+4.916420296003358885e+02j)
 (-2.995764394334720038e+01-4.424145188032916849e+02j), (5.653863922461623588e+02-3.941801448887122206e+01j), (3.914760014581912628e+02+4.896323037339003577e+02j)
 (-4.053832494538879700e+02-2.679988916092871136e+02j), (3.574300519388530120e+02-3.667299077409899724e+02j), (4.347235589557290609e+02+2.980757291906784303e+02j)
 (-7.440024230516307853e+02-2.993474979372739426e+02j), (3.537377270186946276e+01-7.266363191825206513e+02j), (6.205960401153595285e+02+2.450108164548997820e+02j)
 (-1.060537737501694437e+03-1.979134729224426792e+00j), (7.768948767270871691e+00-9.367175786205765462e+02j), (9.362111937676033904e+02-1.345540173476827022e+02j)
